,Player,Current3FGP,PredictedChange,95PLowerBound,95PUpperBound,MeanPredicted3FGP,Actual3FGP,Actual-MeanPrediction
231,Victor Oladipo,0.327,0.008752,0.318,0.353,0.336,0.339,0.003
234,Wesley Johnson,0.369,-0.033156,0.269,0.402,0.336,0.351,0.015
43,Courtney Lee,0.371,-0.036653,0.261,0.408,0.334,0.402,0.068
143,Luke Ridnour,0.343,-0.0087434,0.317,0.352,0.334,0.317,-0.017
73,Gary Neal,0.378,-0.045904,0.24,0.424,0.332,0.305,-0.027
89,Jameer Nelson,0.348,-0.01598,0.3,0.364,0.332,0.345,0.013
133,Kirk Hinrich,0.351,-0.018346,0.296,0.369,0.332,0.345,0.013
180,Paul George,0.364,-0.031633,0.269,0.396,0.332,0.409,0.077
239,Xavier Henry,0.346,-0.014352,0.303,0.36,0.332,NA,NA
100,Jeff Green,0.341,-0.010838,0.308,0.352,0.33,0.332,0.002
125,Kemba Walker,0.333,-0.0030411,0.324,0.336,0.33,0.304,-0.026
177,Patrick Beverley,0.361,-0.030622,0.269,0.392,0.33,0.356,0.026
11,Andre Iguodala,0.354,-0.026879,0.274,0.381,0.328,0.349,0.021
37,Chris Johnson,0.339,-0.01149,0.305,0.35,0.328,0.295,-0.033
170,Nick Calathes,0.311,0.016223,0.295,0.36,0.328,0.256,-0.072
196,Reggie Bullock,0.301,0.026531,0.274,0.381,0.328,0.326,-0.002
238,Wilson Chandler,0.348,-0.019878,0.288,0.368,0.328,0.342,0.014
229,Ty Lawson,0.356,-0.029048,0.269,0.385,0.327,0.341,0.014
216,Terrence Jones,0.307,0.018383,0.289,0.362,0.326,0.351,0.025
123,Kawhi Leonard,0.379,-0.055493,0.213,0.434,0.324,0.349,0.025
183,Pero Antic,0.327,-0.0035697,0.316,0.331,0.324,0.301,-0.023
91,James Harden,0.366,-0.042509,0.238,0.408,0.323,0.375,0.052
45,Danny Granger,0.336,-0.016347,0.287,0.352,0.32,0.357,0.037
25,Brian Roberts,0.36,-0.041739,0.235,0.402,0.318,0.321,0.003
86,Isaiah Thomas,0.349,-0.031383,0.255,0.38,0.318,0.373,0.055
138,Kyrie Irving,0.358,-0.03944,0.24,0.397,0.318,0.415,0.097
199,Ricky Rubio,0.331,-0.013792,0.29,0.345,0.318,0.255,-0.063
226,Travis Outlaw,0.35,-0.033782,0.249,0.384,0.316,DNA,NA
23,Brandon Jennings,0.337,-0.022332,0.27,0.359,0.314,0.36,0.046
157,Metta World Peace,0.315,-0.00052988,0.313,0.316,0.314,DNA,NA
210,Shelvin Mack,0.337,-0.022752,0.269,0.359,0.314,0.315,0.001
101,Jeff Teague,0.329,-0.015987,0.281,0.345,0.313,0.343,0.03
148,Marcus Thornton,0.345,-0.033309,0.245,0.379,0.312,0.378,0.066
64,Earl Clark,0.336,-0.024632,0.262,0.36,0.311,0.286,-0.025
4,Alec Burks,0.35,-0.039399,0.232,0.389,0.31,0.382,0.072
96,Jared Sullinger,0.269,0.041745,0.227,0.394,0.31,0.283,-0.027
165,Monta Ellis,0.33,-0.022958,0.261,0.353,0.307,0.285,-0.022
203,Russell Westbrook,0.318,-0.011196,0.285,0.329,0.307,0.299,-0.008
71,Evan Turner,0.321,-0.014498,0.278,0.335,0.306,0.277,-0.029
114,Jordan Crawford,0.316,-0.010257,0.285,0.326,0.306,DNA,NA
172,Nicolas Batum,0.361,-0.054478,0.198,0.415,0.306,0.324,0.018
33,Chase Budinger,0.35,-0.045008,0.215,0.395,0.305,0.364,0.059
237,Willie Green,0.339,-0.036114,0.231,0.375,0.303,0.347,0.044
61,Dorell Wright,0.342,-0.039784,0.223,0.382,0.302,0.38,0.078
69,E'Twaun Moore,0.354,-0.054735,0.19,0.409,0.3,0.342,0.042
50,DeMar DeRozan,0.305,-0.0062581,0.286,0.311,0.298,0.284,-0.014
70,Evan Fournier,0.376,-0.078578,0.141,0.454,0.298,0.378,0.08
120,Josh Smith,0.264,0.034094,0.23,0.367,0.298,0.316,0.018
169,Nate Wolters,0.29,0.0084578,0.282,0.315,0.298,0,-0.298
55,Devin Harris,0.307,-0.010021,0.277,0.317,0.297,0.357,0.06
77,Gerald Wallace,0.297,-0.000042381,0.297,0.297,0.297,0.333,0.036
195,Raymond Felton,0.318,-0.022935,0.249,0.341,0.295,0.294,-0.001
3,Alan Anderson,0.339,-0.044745,0.205,0.384,0.294,0.348,0.054
116,Jordan Hamilton,0.354,-0.059388,0.175,0.413,0.294,0.476,0.182
175,Omri Casspi,0.347,-0.053847,0.186,0.401,0.294,0.402,0.108
9,Andray Blatche,0.278,0.013212,0.265,0.318,0.292,DNA,NA
117,Jose Barea,0.316,-0.024029,0.244,0.34,0.292,0.323,0.031
222,Toney Douglas,0.304,-0.013357,0.264,0.317,0.29,0.278,-0.012
202,Rudy Gay,0.33,-0.042486,0.203,0.372,0.288,0.359,0.071
84,Iman Shumpert,0.333,-0.051838,0.177,0.385,0.281,0.342,0.061
218,Thabo Sefolosha,0.316,-0.035512,0.21,0.352,0.281,0.321,0.04
24,Brandon Knight,0.325,-0.045094,0.19,0.37,0.28,0.389,0.109
87,Jae Crowder,0.331,-0.052755,0.173,0.384,0.278,0.293,0.015
150,Markieff Morris,0.315,-0.037074,0.204,0.352,0.278,0.318,0.04
13,Anthony Bennett,0.245,0.031917,0.213,0.341,0.277,0.304,0.027
188,Rajon Rondo,0.289,-0.012203,0.252,0.301,0.276,0.314,0.038
82,Harrison Barnes,0.347,-0.07314,0.128,0.42,0.274,0.405,0.131
159,Michael Carter-Williams,0.264,0.0084578,0.256,0.289,0.272,0.235,-0.037
185,Phil Pressey,0.264,0.0084578,0.256,0.289,0.272,0.246,-0.026
90,James Anderson,0.328,-0.057071,0.157,0.385,0.271,DNA,NA
92,James Johnson,0.253,0.016557,0.236,0.303,0.269,0.216,-0.053
201,Rodney Stuckey,0.273,-0.0052689,0.257,0.278,0.268,0.39,0.122
215,Tayshaun Prince,0.29,-0.023253,0.22,0.313,0.266,0.463,0.197
189,Ramon Sessions,0.282,-0.020285,0.221,0.302,0.262,0.317,0.055
167,Nando De Colo,0.34,-0.080292,0.1,0.421,0.26,DNA,NA
144,Luol Deng,0.302,-0.042891,0.173,0.345,0.259,0.355,0.096
54,Derrick Williams,0.263,-0.0046024,0.249,0.268,0.258,0.314,0.056
10,Andrea Bargnani,0.278,-0.021776,0.213,0.3,0.256,0.366,0.11
65,Elliot Williams,0.296,-0.041093,0.173,0.337,0.255,0.444,0.189
5,Alexey Shved,0.294,-0.039931,0.174,0.334,0.254,0.338,0.084
32,Charlie Villanueva,0.25,0.0013318,0.249,0.254,0.252,0.376,0.124
7,Alonzo Gee,0.328,-0.080348,0.088,0.409,0.248,0.371,0.123
68,Ersan Ilyasova,0.282,-0.037508,0.17,0.319,0.244,0.389,0.145
106,Jimmy Butler,0.283,-0.047198,0.141,0.33,0.236,0.378,0.142
42,Corey Brewer,0.28,-0.048698,0.134,0.329,0.232,0.268,0.036
8,Amir Johnson,0.303,-0.072203,0.086,0.375,0.23,0.413,0.183
47,Darius Miller,0.325,-0.12376,-0.047,0.45,0.202,0,-0.202
80,Gordon Hayward,0.304,-0.10266,-0.004,0.406,0.201,0.364,0.163
221,Tobias Harris,0.254,-0.062228,0.067,0.316,0.192,0.364,0.172
230,Tyreke Evans,0.221,-0.030787,0.129,0.252,0.19,0.304,0.114
60,Donatas Motiejunas,0.25,-0.06298,0.061,0.313,0.187,0.368,0.181
99,Jeffery Taylor,0.269,-0.12806,-0.115,0.396,0.14,0.306,0.166
225,Tony Wroten,0.213,-0.08674,-0.048,0.3,0.126,0.261,0.135
